==============================================
HEADER ANALYSIS
==============================================

Total Statements : 6871
Unique Headers   : 1607

==============================================
HEADER FREQUENCY
==============================================

    4    D2R SALE
    4    D2R SALE RETURN
    4    D2R SALE RETURN VALUE
    4    D2R SALE VALUE
    4    DIS.
    4    DLNO
    4    DLNO1
    4    DOCDATE
    4    FREESTOCKINHAND
    4    FREESTOCKVALUE@PURCHASEPRICE
    4    IFSC CODE
    4    ISSUE QTY
    4    LAST BILL DATE
    4    LAST PURCHASE DATE
    4    LLM
    4    MFR
    4    MOBILE
    4    O. VAL.
    4    OP VAL
    4    OP VALUE
    4    ORDER M.EXP
    4    P. QTY
    4    P.F. QTY
    4    P.R.F. QTY
    4    P.R.QTY
    4    P.SCH
    4    PACK.
    4    PAN
    4    PARTICULAR
    4    PARTY CODE
    4    PINVDT
    4    PINVNO
    4    PRDCODE
    4    PRODUCT NAME & PACKING
    4    PURC VAL
    4    REMARKS
    4    ROUTE NAME
    4    RTNTYPE
    4    S. F. QTY
    4    S. VAL.
    4    S.A.PUR. RATE
    4    S.R.F. QTY
    4    S.R.QTY
    4    S.RATE PER UNIT
    4    S.SCH
    4    SALE %
    4    SALE TYPE
    4    SALEQTY.
    4    SALESRET.
    4    SALEVAL
    4    SALEVALUE@SALEPRICEW/OFREE
    4    T V
    4    TAXPER
    4    TELEPHONE
    4    TEMPORARY STOCK
    4    TOTAL PURCHASE
    4    TOTAL PURCHASE RETURN
    4    TOTAL SALE
    4    TOTAL SALE RETURN
    4    TOTALAMT
    4    TOTALQTY
    4    TOWN
    4    VCH NO
    3    01 JUL 2026
    3    10TAB
    3    31 JUL 2026
    3    A
    3    B
    3    BATCH_NO
    3    BILLDATE
    3    BLTYPE
    3    BRK
    3    BT
    3    C
    3    C_ADD_2
    3    CASHDISC
    3    CDAMT
    3    CGST/CSTAMT
    3    CL ST
    3    CL. AMT.
    3    CL. QTY
    3    CLOSE
    3    CLOSING AMT.
    3    COMMENTS
    3    COMNET
    3    CP
    3    CUS NAME
    3    CUSTOMER_ADDRESS2
    3    CUSTOMER_PINCODE
    3    D.C.
    3    DISC
    3    DISCOUNT_AMOUNT
    3    DISCPER
    3    DISPER
    3    DIST.
    3    DOCTOR NAME
    3    DR/CR NET AMOUNT
    3    F.QTY.
    3    FREE_QTY
    3    FREEAMT.
    3    GOODS VA
    3    GOODSVALUE(WITH DISC
    3    GSTAMT
    3    HQ
    3    IDATE
    3    INVOICE_DATE
    3    INVOICE_NO
    3    IPACK
    3    ITEM DETAILS
    3    ITEMDISCOUNT
    3    LS
    3    MFG_CODE
    3    MODE
    3    NET AMT
    3    NETTVAL
    3    O. QTY
    3    OP.QTY
    3    OPENING QTY VALUE
    3    OPENINGFREESTOCK
    3    OPENINGSTOCKVALUE@PURCHASE
    3    OPENINGSTOCKVAT@PURCHASE
    3    OPSTK+PUR
    3    P.R.
    3    PARTSHRT
    3    PARTY ADDRESS
    3    PARTY VS ITEM
    3    PRETQTY
    3    PREV.LAST
    3    PROD NAME
    3    PRODUCT_CODE
    3    PRODUCT_DESC
    3    PRODUCTCOMPANYNAME
    3    PU
    3    PU F
    3    PU VAL
    3    PUR RET
    3    PUR TOT
    3    PUR.BILL DATE
    3    PUR.BILL NO.
    3    PURCHASEVAT
    3    PVALUE
    3    QTY    VALUE
    3    RATETYPE
    3    RECEIPT QTY
    3    RES.TELEPHONE NO.
    3    RET QTY
    3    RETURN VALUE
    3    S.R.
    3    SA
    3    SA F
    3    SALE FREE
    3    SALE QTY W/O RET AND FREE
    3    SALE TOT
    3    SALEFREE
    3    SALES_BASED_ON
    3    SALES_SCH_VALUE
    3    SALESRTN
    3    SALFREE
